Index,Image,Score
0,movie_1065.jpg,2.4
1,game_0775.jpg,1.5
2,movie_1964.jpg,3.3
3,game_1666.jpg,0.6
4,movie_0393.jpg,3.5
5,game_2900.jpg,2.5
6,game_0278.jpg,2.0
7,game_1662.jpg,3.7
8,game_1812.jpg,1.8
9,game_0192.jpg,0.3
10,movie_0355.jpg,4.0
11,game_0879.jpg,3.1
12,game_2462.jpg,2.6
13,movie_0957.jpg,2.8
14,game_2211.jpg,3.0
15,movie_2588.jpg,2.9
16,movie_1078.jpg,3.9
17,game_0576.jpg,1.8
18,movie_0018.jpg,2.1
19,movie_0536.jpg,4.1
20,movie_0742.jpg,3.6
21,game_2835.jpg,1.6
22,game_2666.jpg,1.8
23,game_0211.jpg,0.2
24,movie_2542.jpg,4.3
25,movie_0024.jpg,3.8
26,movie_2806.jpg,3.7
27,movie_0557.jpg,3.3
28,game_1803.jpg,3.6
29,movie_2068.jpg,3.8
30,game_1998.jpg,1.7
31,movie_0093.jpg,2.2
32,movie_0988.jpg,3.2
33,movie_1648.jpg,3.5
34,movie_0043.jpg,3.7
35,movie_1225.jpg,3.7
36,game_1209.jpg,2.6
37,movie_2512.jpg,3.2
38,movie_0910.jpg,3.1
39,game_0101.jpg,1.7
40,movie_2777.jpg,2.7
41,game_0618.jpg,1.6
42,movie_0596.jpg,2.6
43,game_2576.jpg,3.3
44,movie_0008.jpg,3.3
45,game_2461.jpg,1.1
46,movie_1331.jpg,1.1
47,movie_2281.jpg,1.1
48,game_2320.jpg,1.1
49,movie_0751.jpg,1.1
50,movie_2158.jpg,1.1
51,movie_2240.jpg,1.1
52,game_1681.jpg,1.1
53,game_2013.jpg,1.1
54,game_0854.jpg,1.8
55,game_1778.jpg,1.3
56,game_2154.jpg,1.7
57,movie_1405.jpg,2.2
58,game_1465.jpg,2.1
59,game_2588.jpg,2.4
60,movie_2415.jpg,3.8
61,game_0128.jpg,2.1
62,movie_0158.jpg,2.3
63,game_1501.jpg,1.7
64,game_1204.jpg,1.2
65,movie_2824.jpg,3.7
66,movie_2342.jpg,2.6
67,game_2910.jpg,2.3
68,movie_0872.jpg,3.3
69,movie_0446.jpg,3.0
70,movie_2697.jpg,3.3
71,game_2726.jpg,3.1
72,movie_0762.jpg,2.4
73,movie_0245.jpg,3.8
74,movie_2764.jpg,3.6
75,game_0490.jpg,1.7
76,game_2806.jpg,2.8
77,game_0977.jpg,1.6
78,game_0383.jpg,1.7
79,movie_1801.jpg,2.7
80,movie_2546.jpg,2.9
81,movie_0483.jpg,2.8
82,game_1073.jpg,1.6
83,movie_1527.jpg,2.8
84,movie_1572.jpg,3.1
85,game_2296.jpg,3.4
86,game_0791.jpg,2.2
87,game_2174.jpg,1.3
88,movie_1384.jpg,3.6
89,game_0223.jpg,2.2
90,movie_1852.jpg,2.8
91,movie_1194.jpg,2.2
92,movie_2561.jpg,2.7
93,movie_0178.jpg,3.1
94,movie_2001.jpg,3.6
95,movie_0591.jpg,3.4
96,game_1915.jpg,3.2
97,game_0571.jpg,3.1
98,movie_2883.jpg,2.8
99,movie_0165.jpg,2.7
100,game_1641.jpg,2.8
101,game_1676.jpg,3.1
102,game_2441.jpg,1.2
103,game_1530.jpg,1.1
104,game_2937.jpg,1.6
105,game_2791.jpg,1.8
106,movie_0291.jpg,2.4
107,movie_0036.jpg,2.2
108,game_0603.jpg,2.3
109,game_1593.jpg,1.7
110,game_2905.jpg,3.2
111,movie_2786.jpg,3.2
112,movie_0611.jpg,2.1
113,movie_2713.jpg,3.4
114,movie_0926.jpg,3.3
115,movie_2045.jpg,2.7
116,movie_1992.jpg,3.1
117,movie_1733.jpg,0.8
118,game_2714.jpg,2.8
119,game_0367.jpg,1.8
120,movie_0663.jpg,2.1
121,game_0586.jpg,1.6
122,game_2720.jpg,3.4
123,game_0262.jpg,3.2
124,movie_1997.jpg,3.6
125,game_2804.jpg,2.4
126,game_1629.jpg,2.2
127,movie_1209.jpg,3.3
128,movie_1848.jpg,3.2
129,movie_1051.jpg,3.5
130,game_2358.jpg,2.6
131,game_2595.jpg,2.0
132,game_0449.jpg,1.8
133,game_0657.jpg,1.6
134,movie_1631.jpg,3.6
135,game_2136.jpg,2.1
136,movie_0255.jpg,3.1
137,movie_2236.jpg,2.3
138,movie_0772.jpg,2.7
139,game_2140.jpg,2.8
140,game_2747.jpg,2.3
141,game_0056.jpg,1.6
142,movie_2570.jpg,2.5
143,movie_1629.jpg,2.8
144,movie_1837.jpg,3.6
145,game_0795.jpg,1.8
146,game_0358.jpg,1.4
147,movie_2272.jpg,3.8
148,movie_1787.jpg,3.3
149,movie_0830.jpg,3.0
150,movie_0625.jpg,2.8
151,game_1578.jpg,1.9
152,movie_1896.jpg,3.3
153,game_1712.jpg,1.9
154,movie_1342.jpg,3.0
155,movie_2297.jpg,2.9
156,game_2808.jpg,1.8
157,game_0320.jpg,1.7
158,movie_0413.jpg,3.1
159,game_2385.jpg,1.4
160,game_0071.jpg,2.7
161,movie_2744.jpg,3.6
162,game_2184.jpg,1.4
163,game_1264.jpg,1.2
164,movie_1038.jpg,2.8
165,game_1237.jpg,2.8
166,game_2326.jpg,2.1
167,game_2944.jpg,2.3
168,movie_0362.jpg,3.1
169,game_0226.jpg,2.5
170,game_2474.jpg,1.6
171,movie_0182.jpg,1.8
172,movie_0037.jpg,3.2
173,movie_2430.jpg,3.5
174,game_0166.jpg,2.9
175,game_0103.jpg,2.2
176,game_2122.jpg,1.7
177,movie_0281.jpg,3.1
178,movie_2227.jpg,2.3
179,game_0410.jpg,3.1
180,movie_2760.jpg,3.6
181,game_0998.jpg,2.8
182,movie_1172.jpg,3.6
183,game_2338.jpg,1.7
184,movie_0886.jpg,2.3
185,game_1508.jpg,0.8
186,game_0112.jpg,1.9
187,game_2782.jpg,2.3
188,movie_2258.jpg,1.1
189,game_0754.jpg,2.2
190,game_0758.jpg,3.1
191,game_0283.jpg,1.2
192,game_2896.jpg,0.7
193,game_2765.jpg,1.8
194,movie_2638.jpg,1.8
195,movie_1910.jpg,2.8
196,movie_2485.jpg,1.2
197,movie_2388.jpg,2.9
198,game_1174.jpg,2.8
199,movie_1551.jpg,3.1
200,game_1783.jpg,1.9
201,game_1718.jpg,0.6
202,game_0470.jpg,1.7
203,movie_0246.jpg,3.2
204,game_1276.jpg,1.2
205,movie_0197.jpg,2.7
206,game_0904.jpg,2.7
207,movie_1396.jpg,3.3
208,movie_0149.jpg,3.5
209,game_2999.jpg,2.1
210,game_1158.jpg,2.7
211,movie_0833.jpg,3.6
