Index,Image,Score
0,movie_1065.jpg,2.9
1,game_0775.jpg,2.2
2,movie_1964.jpg,1.6
3,game_1666.jpg,0.6
4,movie_0393.jpg,1.8
5,game_2900.jpg,1.8
6,game_0278.jpg,1.1
7,game_1662.jpg,3.2
8,game_1812.jpg,2.1
9,game_0192.jpg,0.4
10,movie_0355.jpg,2.6
11,game_0879.jpg,2.7
12,game_2462.jpg,1.9
13,movie_0957.jpg,2.9
14,game_2211.jpg,3.4
15,movie_2588.jpg,2.1
16,movie_1078.jpg,2.1
17,game_0576.jpg,2.7
18,movie_0018.jpg,1.6
19,movie_0536.jpg,2.8
20,movie_0742.jpg,1.8
21,game_2835.jpg,0.9
22,game_2666.jpg,2.0
23,game_0211.jpg,1.7
24,movie_2542.jpg,3.1
25,movie_0024.jpg,1.8
26,movie_2806.jpg,2.8
27,movie_0557.jpg,2.1
28,game_1803.jpg,3.0
29,movie_2068.jpg,2.0
30,game_1998.jpg,3.6
31,movie_0093.jpg,2.2
32,movie_0988.jpg,2.9
33,movie_1648.jpg,2.6
34,movie_0043.jpg,1.9
35,movie_1225.jpg,2.8
36,game_1209.jpg,3.7
37,movie_2512.jpg,2.8
38,movie_0910.jpg,2.0
39,game_0101.jpg,1.2
40,movie_2777.jpg,1.2
41,game_0618.jpg,0.9
42,movie_0596.jpg,1.7
43,game_2576.jpg,2.6
44,movie_0008.jpg,2.7
45,game_2461.jpg,1.8
46,movie_1331.jpg,1.5
47,movie_2281.jpg,3.4
48,game_2320.jpg,3.6
49,movie_0751.jpg,2.9
50,movie_2158.jpg,3.2
51,movie_2240.jpg,1.7
52,game_1681.jpg,1.8
53,game_2013.jpg,3.2
54,game_0854.jpg,1.2
55,game_1778.jpg,1.7
56,game_2154.jpg,1.3
57,movie_1405.jpg,3.3
58,game_1465.jpg,3.4
59,game_2588.jpg,1.9
60,movie_2415.jpg,3.1
61,game_0128.jpg,1.7
62,movie_0158.jpg,2.8
63,game_1501.jpg,3.6
