Index,Image,Score
0,movie_1065.jpg,3.4
1,game_0775.jpg,2.1
2,movie_1964.jpg,3
3,game_1666.jpg,0.3
4,movie_0393.jpg,1.9
5,game_2900.jpg,0.6
6,game_0278.jpg,2.1
7,game_1662.jpg,3.2
8,game_1812.jpg,2.4
9,game_0192.jpg,0.3
10,movie_0355.jpg,3.7
11,game_0879.jpg,3.1
12,game_2462.jpg,2.6
13,movie_0957.jpg,3.1
14,game_2211.jpg,2.7
15,movie_2588.jpg,3.1
16,movie_1078.jpg,3
17,game_0576.jpg,1.9
18,movie_0018.jpg,1.9
19,movie_0536.jpg,3.3
20,movie_0742.jpg,2.1
21,game_2835.jpg,1.7
22,game_2666.jpg,1.8
23,game_0211.jpg,0.6
24,movie_2542.jpg,3.2
25,movie_0024.jpg,2.9
26,movie_2806.jpg,4.2
27,movie_0557.jpg,3
28,game_1803.jpg,3.3
29,movie_2068.jpg,3.5
30,game_1998.jpg,2.7
31,movie_0093.jpg,2.3
32,movie_0988.jpg,3.4
33,movie_1648.jpg,3.6
34,movie_0043.jpg,2.6
35,movie_1225.jpg,3.1
36,game_1209.jpg,2.8
37,movie_2512.jpg,2.3
38,movie_0910.jpg,3
39,game_0101.jpg,2.7
40,movie_2777.jpg,3.7
41,game_0618.jpg,1.5
42,movie_0596.jpg,2.2
43,game_2576.jpg,2.8
44,movie_0008.jpg,3.1
45,game_2461.jpg,1.6
46,movie_1331.jpg,2.7
47,movie_2281.jpg,2.5
48,game_2320.jpg,1.9
49,movie_0751.jpg,4.2
50,movie_2158.jpg,2.2
51,movie_2240.jpg,3.5
52,game_1681.jpg,2.6
53,game_2013.jpg,2.8
54,game_0854.jpg,2.6
55,game_1778.jpg,1.8
56,game_2154.jpg,1.1
57,movie_1405.jpg,2.2
58,game_1465.jpg,2.7
59,game_2588.jpg,2.1
60,movie_2415.jpg,4.1
61,game_0128.jpg,2.3
62,movie_0158.jpg,3.2
63,game_1501.jpg,2.7
64,game_1204.jpg,0.7
65,movie_2824.jpg,4.4
66,movie_2342.jpg,3.7
67,game_2910.jpg,1.2
68,movie_0872.jpg,3.4
69,movie_0446.jpg,2.7
70,movie_2697.jpg,3.7
71,game_2726.jpg,4.2
72,movie_0762.jpg,2.1
73,movie_0245.jpg,2.8
74,movie_2764.jpg,2.8
75,game_0490.jpg,0.9
76,game_2806.jpg,1.4
77,game_0977.jpg,3.2
78,game_0383.jpg,1.5
79,movie_1801.jpg,2.7
80,movie_2546.jpg,3.1
81,movie_0483.jpg,2.9
82,game_1073.jpg,2.2
83,movie_1527.jpg,3.1
84,movie_1572.jpg,3.3
85,game_2296.jpg,3.2
86,game_0791.jpg,1.9
87,game_2174.jpg,0.5
88,movie_1384.jpg,3.8
89,game_0223.jpg,2.4
90,movie_1852.jpg,3.2
91,movie_1194.jpg,1.2
92,movie_2561.jpg,2.7
93,movie_0178.jpg,2.6
94,movie_2001.jpg,3
95,movie_0591.jpg,3.7
96,game_1915.jpg,3.4
97,game_0571.jpg,3.1
98,movie_2883.jpg,4.1
99,movie_0165.jpg,1.8
100,game_1641.jpg,2.1
101,game_1676.jpg,2.7
102,game_2441.jpg,2.7
103,game_1530.jpg,2.6
104,game_2937.jpg,1.1
105,game_2791.jpg,0.9
106,movie_0291.jpg,2.1
107,movie_0036.jpg,3.4
108,game_0603.jpg,1.8
109,game_1593.jpg,1.4
110,game_2905.jpg,2
111,movie_2786.jpg,4.1
112,movie_0611.jpg,3.2
113,movie_2713.jpg,4.5
114,movie_0926.jpg,2.7
115,movie_2045.jpg,2.8
116,movie_1992.jpg,3.4
117,movie_1733.jpg,1.3
118,game_2714.jpg,2.8
119,game_0367.jpg,2.5
120,movie_0663.jpg,3.3
121,game_0586.jpg,1.7
122,game_2720.jpg,3.5
123,game_0262.jpg,1.2
124,movie_1997.jpg,3.2
125,game_2804.jpg,0.7
126,game_1629.jpg,2.2
127,movie_1209.jpg,3.6
128,movie_1848.jpg,2.7
129,movie_1051.jpg,4.3
130,game_2358.jpg,1
131,game_2595.jpg,1.8
132,game_0449.jpg,2.3
133,game_0657.jpg,2.3
134,movie_1631.jpg,2.8
135,game_2136.jpg,0.7
136,movie_0255.jpg,3.4
137,movie_2236.jpg,1.9
138,movie_0772.jpg,1.8
139,game_2140.jpg,2.2
140,game_2747.jpg,1.7
141,game_0056.jpg,1.7
142,movie_2570.jpg,2.9
143,movie_1629.jpg,3.3
144,movie_1837.jpg,3.3
145,game_0795.jpg,2.8
146,game_0358.jpg,1.8
147,movie_2272.jpg,3.8
148,movie_1787.jpg,2.7
149,movie_0830.jpg,1.4
150,movie_0625.jpg,2.2
151,game_1578.jpg,2.8
152,movie_1896.jpg,3.1
153,game_1712.jpg,2.2
154,movie_1342.jpg,2.1
155,movie_2297.jpg,3.2
156,game_2808.jpg,1.9
157,game_0320.jpg,1.7
158,movie_0413.jpg,2.8
159,game_2385.jpg,2.7
160,game_0071.jpg,2.3
161,movie_2744.jpg,4.7
162,game_2184.jpg,1.9
163,game_1264.jpg,1.8
164,movie_1038.jpg,3.9
165,game_1237.jpg,3.2
166,game_2326.jpg,2.6
167,game_2944.jpg,1
168,movie_0362.jpg,2.5
169,game_0226.jpg,3
170,game_2474.jpg,2.5
171,movie_0182.jpg,3.3
172,movie_0037.jpg,2.7
173,movie_2430.jpg,3.6
174,game_0166.jpg,2.9
175,game_0103.jpg,2.9
176,game_2122.jpg,1.3
177,movie_0281.jpg,3.2
178,movie_2227.jpg,2.8
179,game_0410.jpg,2.1
180,movie_2760.jpg,3.1
181,game_0998.jpg,2.8
182,movie_1172.jpg,2.5
183,game_2338.jpg,0.7
184,movie_0886.jpg,1.2
185,game_1508.jpg,1.7
186,game_0112.jpg,2.1
187,game_2782.jpg,4
188,movie_2258.jpg,1.7
189,game_0754.jpg,3.1
190,game_0758.jpg,1.3
191,game_0283.jpg,0.8
192,game_2896.jpg,2.8
193,game_2765.jpg,2.2
194,movie_2638.jpg,3.7
195,movie_1910.jpg,3.4
196,movie_2485.jpg,3
197,movie_2388.jpg,3.2
198,game_1174.jpg,0.8
199,movie_1551.jpg,2
200,game_1783.jpg,2.6
201,game_1718.jpg,0.3
202,game_0470.jpg,1.5
203,movie_0246.jpg,3
204,game_1276.jpg,2.3
205,movie_0197.jpg,2.8
206,game_0904.jpg,2.1
207,movie_1396.jpg,2.1
208,movie_0149.jpg,2.8
209,game_2999.jpg,1.7
210,game_1158.jpg,1.4
211,movie_0833.jpg,3.1
212,game_2277.jpg,3
213,game_1109.jpg,3.5
214,movie_1569.jpg,3.3
215,game_1127.jpg,1.9
216,game_0386.jpg,2.3
217,game_1134.jpg,2.3
218,game_1135.jpg,2.6
219,game_2655.jpg,1.8
220,movie_0227.jpg,3.3
221,movie_0039.jpg,2.6
222,game_2400.jpg,2.7
223,movie_0471.jpg,3.2
224,movie_0421.jpg,3.6
225,movie_1243.jpg,3.5
226,movie_2286.jpg,1.7
227,game_0804.jpg,1.3
228,game_1592.jpg,3.6
229,movie_2255.jpg,3.5
230,movie_1079.jpg,2.9
231,movie_2704.jpg,4.4
232,movie_2915.jpg,4.1
233,movie_2328.jpg,3
234,movie_2445.jpg,3.1
235,movie_0592.jpg,3.2
236,movie_2888.jpg,3.6
237,movie_0944.jpg,2.8
238,game_0703.jpg,2.4
239,game_0940.jpg,2.3
240,game_2350.jpg,2.9
241,game_2814.jpg,1.3
242,game_1175.jpg,4.2
243,movie_0303.jpg,3.8
244,game_1208.jpg,1.8
245,movie_2856.jpg,3.6
246,movie_2334.jpg,1.7
247,game_0852.jpg,2.1
248,movie_0185.jpg,3.6
249,game_2604.jpg,1.6
250,game_2650.jpg,1.7
251,game_2585.jpg,0.6
252,game_1242.jpg,1.9
253,movie_1715.jpg,2.6
254,movie_0458.jpg,2.7
255,game_0729.jpg,3.3
256,movie_1314.jpg,3.2
257,game_1753.jpg,2.4
258,game_1658.jpg,2.3
259,game_1065.jpg,3.4
260,game_2043.jpg,2.3
261,movie_2206.jpg,3.7
262,game_0740.jpg,3.2
263,movie_1451.jpg,3.5
264,game_1586.jpg,1.9
265,game_2598.jpg,2.2
266,game_2543.jpg,2.3
267,movie_2287.jpg,3.4
268,movie_2584.jpg,3.3
269,game_1906.jpg,2.8
270,game_2501.jpg,2.8
271,game_2540.jpg,2.1
272,game_2874.jpg,1.7
273,game_0747.jpg,1.8
274,movie_0912.jpg,1.7
275,movie_1156.jpg,1.8
276,movie_0783.jpg,2.8
277,movie_1128.jpg,0.8
278,game_2651.jpg,2.5
279,movie_1257.jpg,3
280,movie_1966.jpg,3.2
281,movie_2372.jpg,3.2
282,movie_2909.jpg,1.5
283,movie_1122.jpg,3.9
284,game_2597.jpg,2.8
285,game_0474.jpg,2.5
286,movie_1391.jpg,3.4
287,game_1210.jpg,3.8
288,movie_0344.jpg,1.3
289,movie_0112.jpg,2.7
290,game_1454.jpg,2.6
291,movie_0011.jpg,3.2
292,game_2237.jpg,1.3
293,movie_2886.jpg,2.5
294,movie_0416.jpg,2.9
295,movie_0881.jpg,3.1
296,movie_0784.jpg,2.8
297,movie_0729.jpg,1.2
298,game_0414.jpg,2.8
299,game_1257.jpg,0.7
300,game_2318.jpg,0.3
301,movie_2539.jpg,3.9
302,movie_1152.jpg,3
303,game_2739.jpg,2.1
304,movie_1995.jpg,3.2
305,movie_2728.jpg,4.4
306,game_2988.jpg,2.2
307,movie_0994.jpg,2.3
308,movie_2746.jpg,2.5
309,game_1343.jpg,2.9
310,movie_1293.jpg,3.1
311,movie_1428.jpg,2.3
312,movie_2960.jpg,3.8
313,movie_0568.jpg,2.2
314,game_2016.jpg,1.7
315,movie_1713.jpg,3
316,movie_0443.jpg,1.8
317,game_0077.jpg,0.6
318,game_1638.jpg,2.5
319,game_0120.jpg,1.5
320,game_1128.jpg,0.6
321,movie_0643.jpg,1.6
322,movie_1182.jpg,2.8
323,movie_1591.jpg,3.5
324,movie_2187.jpg,3.7
325,movie_0217.jpg,3.3
326,game_2704.jpg,0.6
