Index,Image,Score
0,movie_1065.jpg,2.9
1,game_0775.jpg,1.4
2,movie_1964.jpg,2.7
3,game_1666.jpg,0.4
4,movie_0393.jpg,2.8
5,game_2900.jpg,1.7
6,game_0278.jpg,2.2
7,game_1662.jpg,3.3
8,game_1812.jpg,1.8
9,game_0192.jpg,0.6
10,movie_0355.jpg,3.4
11,game_0879.jpg,2.7
12,game_2462.jpg,1.2
13,movie_0957.jpg,2.7
14,game_2211.jpg,2.6
15,movie_2588.jpg,2.9
16,movie_1078.jpg,3.6
17,game_0576.jpg,1.2
18,movie_0018.jpg,2.1
19,movie_0536.jpg,3.2
20,movie_0742.jpg,2.7
21,game_2835.jpg,1.2
22,game_2666.jpg,1.3
23,game_0211.jpg,0.8
24,movie_2542.jpg,3.4
25,movie_0024.jpg,2.1
26,movie_2806.jpg,4.2
27,movie_0557.jpg,3.1
28,game_1803.jpg,2.9
29,movie_2068.jpg,3.7
30,game_1998.jpg,2.8
31,movie_0093.jpg,1.9
32,movie_0988.jpg,3.6
33,movie_1648.jpg,3.3
34,movie_0043.jpg,2.1
35,movie_1225.jpg,3.4
36,game_1209.jpg,3.3
37,movie_2512.jpg,2.8
38,movie_0910.jpg,3.1
39,game_0101.jpg,2.2
40,movie_2777.jpg,3.6
41,game_0618.jpg,1.4
42,movie_0596.jpg,2.5
43,game_2576.jpg,2.1
44,movie_0008.jpg,3.3
45,game_2461.jpg,1.9
46,movie_1331.jpg,2.3
47,movie_2281.jpg,4.3
48,game_2320.jpg,2.2
49,movie_0751.jpg,3.6
50,movie_2158.jpg,2.7
51,movie_2240.jpg,3.1
52,game_1681.jpg,2.6
53,game_2013.jpg,2.7
54,game_0854.jpg,1.3
55,game_1778.jpg,2.3
56,game_2154.jpg,1.2
57,movie_1405.jpg,1.8
58,game_1465.jpg,2.2
59,game_2588.jpg,2.5
60,movie_2415.jpg,3.9
61,game_0128.jpg,1.7
62,movie_0158.jpg,3.3
63,game_1501.jpg,1.7
64,game_1204.jpg,1.2
65,movie_2824.jpg,4.5
66,movie_2342.jpg,3.7
67,game_2910.jpg,2.2
68,movie_0872.jpg,3.7
69,movie_0446.jpg,2.3
70,movie_2697.jpg,3.8
71,game_2726.jpg,3.8
72,movie_0762.jpg,2.3
