Index,Image,Score
0,movie_1065.jpg,1.6
1,game_0775.jpg,1.3
2,movie_1964.jpg,1.8
3,game_1666.jpg,0.8
4,movie_0393.jpg,2.3
5,game_2900.jpg,3.1
6,game_0278.jpg,2.1
7,game_1662.jpg,3
8,game_1812.jpg,1.2
9,game_0192.jpg,0.9
10,movie_0355.jpg,1.7
11,game_0879.jpg,2.3
12,game_2462.jpg,1.7
13,movie_0957.jpg,1.9
14,game_2211.jpg,1.8
15,movie_2588.jpg,1.4
16,movie_1078.jpg,1.8
17,game_0576.jpg,1.3
18,movie_0018.jpg,2
19,movie_0536.jpg,3
20,movie_0742.jpg,2.2
21,game_2835.jpg,1
22,game_2666.jpg,1.8
23,game_0211.jpg,1
24,movie_2542.jpg,1.8
25,movie_0024.jpg,1.9
26,movie_2806.jpg,3.1
27,movie_0557.jpg,2.2
28,game_1803.jpg,2.3
29,movie_2068.jpg,3.5
30,game_1998.jpg,2
31,movie_0093.jpg,2.1
32,movie_0988.jpg,3.2
33,movie_1648.jpg,3
34,movie_0043.jpg,2.7
35,movie_1225.jpg,2.6
36,game_1209.jpg,3.1
37,movie_2512.jpg,3
38,movie_0910.jpg,2.2
39,game_0101.jpg,2
40,movie_2777.jpg,2.8
41,game_0618.jpg,1.3
42,movie_0596.jpg,2.7
43,game_2576.jpg,2.9
44,movie_0008.jpg,2.8
45,game_2461.jpg,1.3
46,movie_1331.jpg,1.9
47,movie_2281.jpg,3.8
48,game_2320.jpg,2.4
49,movie_0751.jpg,2.8
50,movie_2158.jpg,1.8
51,movie_2240.jpg,2
52,game_1681.jpg,1.4
53,game_2013.jpg,2.6
54,game_0854.jpg,2.5
55,game_1778.jpg,1.9
56,game_2154.jpg,1.2
57,movie_1405.jpg,2.5
58,game_1465.jpg,1.8
59,game_2588.jpg,2.2
60,movie_2415.jpg,3.6
61,game_0128.jpg,1.4
62,movie_0158.jpg,2.7
63,game_1501.jpg,1.3
64,game_1204.jpg,1.3
65,movie_2824.jpg,4.1
66,movie_2342.jpg,1.1
67,game_2910.jpg,1.9
68,movie_0872.jpg,3.2
69,movie_0446.jpg,1.3
70,movie_2697.jpg,2.8
71,game_2726.jpg,3.3
72,movie_0762.jpg,2.2
73,movie_0245.jpg,2
74,movie_2764.jpg,2.8
75,game_0490.jpg,1.1
76,game_2806.jpg,1.3
77,game_0977.jpg,2.1
78,game_0383.jpg,1.5
79,movie_1801.jpg,2.3
80,movie_2546.jpg,2.9
81,movie_0483.jpg,1.2
82,game_1073.jpg,1.6
83,movie_1527.jpg,2.3
84,movie_1572.jpg,2.9
85,game_2296.jpg,2.7
86,game_0791.jpg,2
87,game_2174.jpg,1.4
88,movie_1384.jpg,3.2
89,game_0223.jpg,2.1
90,movie_1852.jpg,3.1
91,movie_1194.jpg,1.9
92,movie_2561.jpg,2.9
93,movie_0178.jpg,1.9
94,movie_2001.jpg,2.2
95,movie_0591.jpg,2.8
96,game_1915.jpg,2.8
97,game_0571.jpg,3.6
98,movie_2883.jpg,3.7
99,movie_0165.jpg,1.8
100,game_1641.jpg,2
101,game_1676.jpg,1.8
102,game_2441.jpg,1.5
103,game_1530.jpg,1.7
104,game_2937.jpg,1.4
105,game_2791.jpg,0.9
106,movie_0291.jpg,2.4
107,movie_0036.jpg,1.9
108,game_0603.jpg,1.7
109,game_1593.jpg,1.5
110,game_2905.jpg,2.7
111,movie_2786.jpg,3.4
112,movie_0611.jpg,1.8
113,movie_2713.jpg,3.9
114,movie_0926.jpg,2
115,movie_2045.jpg,1.8
116,movie_1992.jpg,2.8
117,movie_1733.jpg,1.2
118,game_2714.jpg,3.5
119,game_0367.jpg,2
120,movie_0663.jpg,3.8
121,game_0586.jpg,1.1
122,game_2720.jpg,3
123,game_0262.jpg,1.7
124,movie_1997.jpg,2.1
125,game_2804.jpg,0.9
126,game_1629.jpg,1.9
127,movie_1209.jpg,2.9
128,movie_1848.jpg,2.3
129,movie_1051.jpg,3.4
130,game_2358.jpg,1.3
131,game_2595.jpg,1.5
132,game_0449.jpg,1.8
133,game_0657.jpg,1.8
134,movie_1631.jpg,2.7
135,game_2136.jpg,2
136,movie_0255.jpg,2.1
137,movie_2236.jpg,3
138,movie_0772.jpg,2.3
139,game_2140.jpg,2.2
140,game_2747.jpg,1.9
141,game_0056.jpg,1.1
142,movie_2570.jpg,2
143,movie_1629.jpg,1.9
144,movie_1837.jpg,2.9
145,game_0795.jpg,2
146,game_0358.jpg,1.3
147,movie_2272.jpg,4.3
148,movie_1787.jpg,2
149,movie_0830.jpg,1.9
150,movie_0625.jpg,3
151,game_1578.jpg,1.9
152,movie_1896.jpg,2.4
153,game_1712.jpg,1.3
154,movie_1342.jpg,1.7
155,movie_2297.jpg,3.2
156,game_2808.jpg,2.6
157,game_0320.jpg,1.3
158,movie_0413.jpg,3
159,game_2385.jpg,1.6
160,game_0071.jpg,1.7
161,movie_2744.jpg,4.2
162,game_2184.jpg,1.8
163,game_1264.jpg,1.1
164,movie_1038.jpg,2.2
165,game_1237.jpg,1.4
166,game_2326.jpg,1.6
167,game_2944.jpg,1.3
168,movie_0362.jpg,2.2
169,game_0226.jpg,2.7
170,game_2474.jpg,1.7
171,movie_0182.jpg,1.5
172,movie_0037.jpg,2.5
173,movie_2430.jpg,3
174,game_0166.jpg,1.6
175,game_0103.jpg,1.8
176,game_2122.jpg,1.5
177,movie_0281.jpg,2.3
178,movie_2227.jpg,1.8
179,game_0410.jpg,1.9
180,movie_2760.jpg,3.9
181,game_0998.jpg,2.8
182,movie_1172.jpg,3.7
183,game_2338.jpg,0.8
184,movie_0886.jpg,1.8
185,game_1508.jpg,2.1
186,game_0112.jpg,1
187,game_2782.jpg,3
188,movie_2258.jpg,1.3
189,game_0754.jpg,2.6
190,game_0758.jpg,2.2
191,game_0283.jpg,1.2
192,game_2896.jpg,2.6
193,game_2765.jpg,2
194,movie_2638.jpg,2.2
195,movie_1910.jpg,3.4
196,movie_2485.jpg,2.3
197,movie_2388.jpg,2.7
198,game_1174.jpg,1.4
199,movie_1551.jpg,2.3
200,game_1783.jpg,1.8
201,game_1718.jpg,0.8
202,game_0470.jpg,1.2
203,movie_0246.jpg,2.4
204,game_1276.jpg,1.3
205,movie_0197.jpg,2.5
206,game_0904.jpg,2.5
207,movie_1396.jpg,1.4
208,movie_0149.jpg,1.9
209,game_2999.jpg,2.1
210,game_1158.jpg,1.2
211,movie_0833.jpg,2.1
212,game_2277.jpg,2
213,game_1109.jpg,2.1
214,movie_1569.jpg,3.3
215,game_1127.jpg,1.6
216,game_0386.jpg,1.7
217,game_1134.jpg,1.3
218,game_1135.jpg,1.9
219,game_2655.jpg,2
220,movie_0227.jpg,2.3
221,movie_0039.jpg,2.2
222,game_2400.jpg,1.9
223,movie_0471.jpg,1.8
224,movie_0421.jpg,2.6
225,movie_1243.jpg,1.9
226,movie_2286.jpg,1.8
227,game_0804.jpg,1.6
228,game_1592.jpg,2
229,movie_2255.jpg,1.2
230,movie_1079.jpg,3.3
231,movie_2704.jpg,3.7
